split,pair_index,patient_id,pd_volume,pdfs_volume,pd_acquisition,pdfs_acquisition,pd_slices,pdfs_slices,paired_slices,pd_has_target,pdfs_has_target
train,0,,file1000685.h5,file1000568.h5,CORPD_FBK,CORPDFS_FBK,29,29,29,True,True
train,1,,file1002273.h5,file1000481.h5,CORPD_FBK,CORPDFS_FBK,38,38,38,True,True
train,2,,file1000472.h5,file1000142.h5,CORPD_FBK,CORPDFS_FBK,33,33,33,True,True
train,3,,file1002186.h5,file1000863.h5,CORPD_FBK,CORPDFS_FBK,35,35,35,True,True
train,4,,file1002385.h5,file1002518.h5,CORPD_FBK,CORPDFS_FBK,40,40,40,True,True
train,5,,file1000981.h5,file1000129.h5,CORPD_FBK,CORPDFS_FBK,30,30,30,True,True
train,6,,file1001320.h5,file1001948.h5,CORPD_FBK,CORPDFS_FBK,32,32,32,True,True
train,7,,file1000633.h5,file1002243.h5,CORPD_FBK,CORPDFS_FBK,39,39,39,True,True
train,8,,file1001872.h5,file1001294.h5,CORPD_FBK,CORPDFS_FBK,35,35,35,True,True
train,9,,file1001474.h5,file1001830.h5,CORPD_FBK,CORPDFS_FBK,40,40,40,True,True
train,10,,file1001005.h5,file1001283.h5,CORPD_FBK,CORPDFS_FBK,40,40,40,True,True
train,11,,file1001690.h5,file1001519.h5,CORPD_FBK,CORPDFS_FBK,32,32,32,True,True
train,12,,file1002469.h5,file1001811.h5,CORPD_FBK,CORPDFS_FBK,30,30,30,True,True
train,13,,file1000914.h5,file1000242.h5,CORPD_FBK,CORPDFS_FBK,35,35,35,True,True
train,14,,file1002284.h5,file1002012.h5,CORPD_FBK,CORPDFS_FBK,34,34,34,True,True
train,15,,file1001721.h5,file1001328.h5,CORPD_FBK,CORPDFS_FBK,38,38,38,True,True
train,16,,file1000807.h5,file1002334.h5,CORPD_FBK,CORPDFS_FBK,40,40,40,True,True
train,17,,file1001944.h5,file1002335.h5,CORPD_FBK,CORPDFS_FBK,30,30,30,True,True
train,18,,file1002090.h5,file1002431.h5,CORPD_FBK,CORPDFS_FBK,35,35,35,True,True
train,19,,file1000499.h5,file1002063.h5,CORPD_FBK,CORPDFS_FBK,37,37,37,True,True
train,20,,file1001362.h5,file1000509.h5,CORPD_FBK,CORPDFS_FBK,33,33,33,True,True
train,21,,file1001421.h5,file1000597.h5,CORPD_FBK,CORPDFS_FBK,33,33,33,True,True
train,22,,file1000349.h5,file1000321.h5,CORPD_FBK,CORPDFS_FBK,35,35,35,True,True
train,23,,file1002123.h5,file1001235.h5,CORPD_FBK,CORPDFS_FBK,36,36,36,True,True
train,24,,file1001867.h5,file1002086.h5,CORPD_FBK,CORPDFS_FBK,33,33,33,True,True
train,25,,file1001007.h5,file1001027.h5,CORPD_FBK,CORPDFS_FBK,33,33,33,True,True
train,26,,file1001915.h5,file1000088.h5,CORPD_FBK,CORPDFS_FBK,35,35,35,True,True
train,27,,file1001661.h5,file1000313.h5,CORPD_FBK,CORPDFS_FBK,35,35,35,True,True
train,28,,file1000383.h5,file1000307.h5,CORPD_FBK,CORPDFS_FBK,39,39,39,True,True
train,29,,file1000116.h5,file1000632.h5,CORPD_FBK,CORPDFS_FBK,37,37,37,True,True
train,30,,file1002303.h5,file1000173.h5,CORPD_FBK,CORPDFS_FBK,37,37,37,True,True
train,31,,file1000306.h5,file1001277.h5,CORPD_FBK,CORPDFS_FBK,39,39,39,True,True
train,32,,file1000003.h5,file1001922.h5,CORPD_FBK,CORPDFS_FBK,45,45,45,True,True
train,33,,file1000109.h5,file1000143.h5,CORPD_FBK,CORPDFS_FBK,33,33,33,True,True
train,34,,file1001999.h5,file1000115.h5,CORPD_FBK,CORPDFS_FBK,44,44,44,True,True
train,35,,file1000089.h5,file1000326.h5,CORPD_FBK,CORPDFS_FBK,39,39,39,True,True
train,36,,file1001205.h5,file1002232.h5,CORPD_FBK,CORPDFS_FBK,44,44,44,True,True
train,37,,file1000557.h5,file1000619.h5,CORPD_FBK,CORPDFS_FBK,33,33,33,True,True
train,38,,file1001823.h5,file1000778.h5,CORPD_FBK,CORPDFS_FBK,37,37,37,True,True
train,39,,file1000806.h5,file1001130.h5,CORPD_FBK,CORPDFS_FBK,39,39,39,True,True
train,40,,file1000365.h5,file1000351.h5,CORPD_FBK,CORPDFS_FBK,38,38,38,True,True
train,41,,file1002374.h5,file1001778.h5,CORPD_FBK,CORPDFS_FBK,38,38,38,True,True
train,42,,file1002516.h5,file1001910.h5,CORPD_FBK,CORPDFS_FBK,37,37,37,True,True
train,43,,file1001200.h5,file1000931.h5,CORPD_FBK,CORPDFS_FBK,38,38,38,True,True
train,44,,file1001479.h5,file1000952.h5,CORPD_FBK,CORPDFS_FBK,35,35,35,True,True
train,45,,file1000850.h5,file1001942.h5,CORPD_FBK,CORPDFS_FBK,40,40,40,True,True
train,46,,file1001426.h5,file1002143.h5,CORPD_FBK,CORPDFS_FBK,35,35,35,True,True
train,47,,file1001304.h5,file1001333.h5,CORPD_FBK,CORPDFS_FBK,38,38,38,True,True
train,48,,file1000390.h5,file1000518.h5,CORPD_FBK,CORPDFS_FBK,38,38,38,True,True
train,49,,file1000830.h5,file1002096.h5,CORPD_FBK,CORPDFS_FBK,41,41,41,True,True
train,50,,file1000794.h5,file1001856.h5,CORPD_FBK,CORPDFS_FBK,40,40,40,True,True
train,51,,file1001266.h5,file1001327.h5,CORPD_FBK,CORPDFS_FBK,37,37,37,True,True
train,52,,file1001692.h5,file1002352.h5,CORPD_FBK,CORPDFS_FBK,38,38,38,True,True
train,53,,file1001564.h5,file1001024.h5,CORPD_FBK,CORPDFS_FBK,35,35,35,True,True
train,54,,file1001861.h5,file1002050.h5,CORPD_FBK,CORPDFS_FBK,36,36,36,True,True
train,55,,file1002066.h5,file1002361.h5,CORPD_FBK,CORPDFS_FBK,39,39,39,True,True
train,56,,file1001613.h5,file1002087.h5,CORPD_FBK,CORPDFS_FBK,40,40,40,True,True
train,57,,file1001931.h5,file1000220.h5,CORPD_FBK,CORPDFS_FBK,40,40,40,True,True
train,58,,file1000339.h5,file1000554.h5,CORPD_FBK,CORPDFS_FBK,41,41,41,True,True
train,59,,file1000754.h5,file1002208.h5,CORPD_FBK,CORPDFS_FBK,33,33,33,True,True
train,60,,file1001067.h5,file1001956.h5,CORPD_FBK,CORPDFS_FBK,37,37,37,True,True
train,61,,file1000101.h5,file1001053.h5,CORPD_FBK,CORPDFS_FBK,40,40,40,True,True
train,62,,file1002520.h5,file1002409.h5,CORPD_FBK,CORPDFS_FBK,40,40,40,True,True
train,63,,file1001459.h5,file1001615.h5,CORPD_FBK,CORPDFS_FBK,38,38,38,True,True
train,64,,file1001673.h5,file1000508.h5,CORPD_FBK,CORPDFS_FBK,40,40,40,True,True
train,65,,file1002201.h5,file1001228.h5,CORPD_FBK,CORPDFS_FBK,37,37,37,True,True
train,66,,file1000058.h5,file1002449.h5,CORPD_FBK,CORPDFS_FBK,38,38,38,True,True
train,67,,file1001748.h5,file1001042.h5,CORPD_FBK,CORPDFS_FBK,40,40,40,True,True
train,68,,file1001941.h5,file1000376.h5,CORPD_FBK,CORPDFS_FBK,35,35,35,True,True
train,69,,file1000801.h5,file1002545.h5,CORPD_FBK,CORPDFS_FBK,36,36,36,True,True
train,70,,file1000010.h5,file1000535.h5,CORPD_FBK,CORPDFS_FBK,36,36,36,True,True
train,71,,file1000882.h5,file1002154.h5,CORPD_FBK,CORPDFS_FBK,38,38,38,True,True
train,72,,file1001694.h5,file1001297.h5,CORPD_FBK,CORPDFS_FBK,35,35,35,True,True
train,73,,file1001992.h5,file1002456.h5,CORPD_FBK,CORPDFS_FBK,38,38,38,True,True
train,74,,file1001666.h5,file1001773.h5,CORPD_FBK,CORPDFS_FBK,34,34,34,True,True
train,75,,file1001629.h5,file1002514.h5,CORPD_FBK,CORPDFS_FBK,39,39,39,True,True
train,76,,file1002113.h5,file1000738.h5,CORPD_FBK,CORPDFS_FBK,39,39,39,True,True
train,77,,file1002221.h5,file1000569.h5,CORPD_FBK,CORPDFS_FBK,42,42,42,True,True
train,78,,file1002296.h5,file1002117.h5,CORPD_FBK,CORPDFS_FBK,38,38,38,True,True
train,79,,file1000693.h5,file1001945.h5,CORPD_FBK,CORPDFS_FBK,37,37,37,True,True
train,80,,file1001410.h5,file1000223.h5,CORPD_FBK,CORPDFS_FBK,37,37,37,True,True
train,81,,file1002071.h5,file1001425.h5,CORPD_FBK,CORPDFS_FBK,36,36,36,True,True
train,82,,file1002325.h5,file1001259.h5,CORPD_FBK,CORPDFS_FBK,42,42,42,True,True
train,83,,file1002430.h5,file1001969.h5,CORPD_FBK,CORPDFS_FBK,31,31,31,True,True
